num_col,size_col,size_chunk,num_threads,level_one_time,canopy_size,level_two_time,canopy_size,rest_of_levels_time,total_time,canopy_size
15,1000000,1000,1,0.0899724,0,1.20153,0,136.713,138.004,0
15,1000000,1000,2,0.04925,0,0.577198,0,68.4652,69.0919,0
15,1000000,1000,4,0.0276892,0,0.298129,0,35.6696,35.9957,0
15,1000000,1000,8,0.0149426,0,0.160747,0,18.7699,18.9459,0
