num_col,size_col,size_chunk,num_threads,level_one_time,canopy_size,level_two_time,canopy_size,rest_of_levels_time,canopy_size,total_time,canopy_size,cycles,cache-misses
15,1000000,1000,1,0.0961966,15000,1.20928,120000,157.407,32767000,158.713,32767000,396251951785,39212457
15,1000000,1000,2,0.0533593,15000,0.623523,120000,104.843,32767000,105.52,32767000,489344759698,238127331
15,1000000,1000,4,0.031402,15000,0.345165,120000,83.3776,32767000,83.7545,32767000,687007404472,510118534
15,1000000,1000,8,0.0208506,15000,0.235576,120000,72.735,32767000,72.9917,32767000,1088903910130,783098347
15,1000000,1000,16,0.0333501,15000,0.240259,120000,74.7883,32767000,75.0623,32767000,2375344562556,830496564
15,1000000,1000,32,0.038578,15000,0.279088,120000,105.492,32767000,105.81,32767000,7112060467815,1400421797
15,1000000,1000,64,0.0482335,15000,0.348441,120000,126.096,32767000,126.493,32767000,15831214353768,1813915302
15,1000000,1000,128,0.0548533,15000,0.451491,120000,156.184,32767000,156.69,32767000,17026747410328,2094776330
