num_col,size_col,size_chunk,level_one_time,canopy_size,level_two_time,rest_of_levels_time,total_time,cycles,cache-misses,time
15,10000000,100,1.51409,1500000,15.6416,1333.45,1350.6,3372213841507,7810267803,1333.45
15,10000000,1000,0.975783,150000,11.7963,125.552,138.325,345554129168,427321497,125.552
15,10000000,10000,0.926584,15000,11.3664,21.2278,33.5211,83650662815,48198569,21.2278
15,10000000,100000,0.909432,1500,11.2848,12.347,24.5415,61306600790,24377229,12.347
15,10000000,1000000,0.920082,150,12.3562,12.4501,25.7267,64188099259,16956744,12.4501
15,10000000,10000000,0.923621,15,12.5453,12.4959,25.9651,64866564256,16592271,12.4959
