num_col,size_col,size_chunk,num_threads,level_one_time,canopy_size,level_two_time,canopy_size,rest_of_levels_time,canopy_size,total_time,canopy_size,cycles,cache-misses
15,1000000,1000,1,0.0930835,15000,1.20392,120000,157.703,32767000,159,32767000,396763286054,39285329
15,1000000,1000,2,0.0533724,15000,0.62115,120000,108.965,32767000,109.639,32767000,508571237369,335803923
15,1000000,1000,4,0.0413491,15000,0.350861,120000,81.7484,32767000,82.141,32767000,669748352191,473377943
15,1000000,1000,8,0.0331723,15000,0.242585,120000,73.697,32767000,73.9731,32767000,1102418122039,834063201
15,1000000,1000,16,0.0349752,15000,0.265001,120000,73.77,32767000,74.0703,32767000,2305535485955,820565032
15,1000000,1000,32,0.0401376,15000,0.286123,120000,102.539,32767000,102.866,32767000,6902912669741,1481426728
15,1000000,1000,64,0.0477718,15000,0.340457,120000,124.22,32767000,124.609,32767000,15537575843130,1720523859
15,1000000,1000,128,0.0585788,15000,0.450062,120000,154.933,32767000,155.442,32767000,16962458728075,2298802598
