num_col,size_col,size_chunk,num_threads,level_one_time,canopy_size,level_two_time,canopy_size,rest_of_levels_time,canopy_size,total_time,canopy_size,cycles,cache-misses
15,1000000,1000,1,0.0949699,15000,1.22278,120000,178.637,32767000,179.955,32767000,449528727838,56852960
15,1000000,1000,2,0.0532595,15000,0.602136,120000,98.7464,32767000,99.402,32767000,496016924215,167141029
15,1000000,1000,4,0.0329,15000,0.295545,120000,59.1081,32767000,59.4369,32767000,586441375871,232192403
15,1000000,1000,8,0.0185789,15000,0.162603,120000,44.5357,32767000,44.7173,32767000,841222546077,260846989
15,1000000,1000,16,0.0167744,15000,0.0952038,120000,32.0736,32767000,32.186,32767000,1123063410826,293529858
15,1000000,1000,32,0.0114981,15000,0.0609852,120000,26.7858,32767000,26.8586,32767000,1827720158514,383279703
15,1000000,1000,64,0.0215877,15000,0.093811,120000,31.2307,32767000,31.3464,32767000,2695253148194,513269245
15,1000000,1000,128,0.029368,15000,0.164804,120000,48.0596,32767000,48.2541,32767000,2617032240392,854571292
