num_col,size_col,size_chunk,level_one_time,canopy_size,level_two_time,rest_of_levels_time,total_time,cycles,cache-misses,time
15,100000,1000,0.00833645,1500,0.113697,1.22505,1.34722,3365549541,3684541,1.22505
15,1000000,1000,0.0875444,15000,1.16038,11.0726,12.3208,30763410499,30712487,11.0726
15,10000000,1000,0.969027,150000,11.7856,125.56,138.315,345517364466,416181368,125.56
15,100000000,1000,9.32519,1500000,118.253,1451.43,1579.01,3942861841232,8070051397,1451.43
