num_col,size_col,size_chunk,num_threads,level_one_time,canopy_size,level_two_time,canopy_size,rest_of_levels_time,canopy_size,total_time,canopy_size,cycles,cache-misses
10,10000,1000,1,0.00172433,100,0.00523777,550,0.0221225,10230,0.0292323,10230,71935687,24218
10,100000,10000,1,0.0069499,100,0.047585,550,0.0221686,10230,0.0768372,10230,190196890,41286
10,1000000,100000,1,0.0589164,100,0.485121,550,0.0228526,10230,0.567069,10230,1411042646,494313
10,10000000,1000000,1,0.774922,100,5.43277,550,0.0223719,10230,6.23028,10230,15554959865,11050121
10,100000000,10000000,1,6.32461,100,56.7654,550,0.022282,10230,63.1126,10230,157708371134,62688358
