num_col,size_col,size_chunk,num_threads,level_one_time,canopy_size,level_two_time,canopy_size,rest_of_levels_time,canopy_size,total_time,canopy_size,cycles,cache-misses
15,100000,10,1,0.081218,150000,0.840564,1200000,2885.65,327670000,2886.57,327670000,7178789154414,11031319935
15,100000,100,1,0.0165878,15000,0.161535,120000,177.957,32767000,178.135,32767000,443869737455,57030723
15,100000,1000,1,0.0104085,1500,0.115198,12000,18.0277,3276700,18.1534,3276700,45238170360,5591500
15,100000,10000,1,0.0099489,150,0.111053,1200,1.7018,327670,1.82295,327670,4552259910,393145
15,100000,100000,1,0.00969833,15,0.110202,120,0.168955,32767,0.289005,32767,719244155,106340
