num_col,size_col,size_chunk,num_threads,level_one_time,canopy_size,level_two_time,canopy_size,rest_of_levels_time,canopy_size,total_time,canopy_size,cycles,cache-misses
15,10000,1000,1,0.00226922,150,0.0117841,1200,1.69895,327670,1.71315,327670,4277080307,332995
15,100000,10000,1,0.00978761,150,0.110541,1200,1.70184,327670,1.82232,327670,4550645104,383163
15,1000000,100000,1,0.0878736,150,1.15829,1200,1.70325,327670,2.94963,327670,7365558548,1771504
15,10000000,1000000,1,1.2132,150,12.8127,1200,1.70636,327670,15.7325,327670,39307639636,20230422
15,100000000,10000000,1,14.1756,150,129.39,1200,1.72,327670,145.286,327670,362355161803,195118309
